2026-05-24 16:29:01,584 | trial | INFO | Trial spec: model=mlx-community/Qwen2.5-14B-Instruct-4bit stories=['hospital_incident', 'community_fair', 'restaurant_fire', 'school_trip', 'power_cut', 'missed_flight'] conditions=['linear', 'nonlinear', 'atemporal'] seeds=[0, 1, 2, 3, 4] temperature=0.7 max_new_tokens=80
2026-05-24 16:29:01,584 | trial | INFO | [1/90] hospital_incident | linear | seed=0
2026-05-24 16:34:25,148 | trial | INFO | [2/90] hospital_incident | linear | seed=1
2026-05-24 16:39:48,026 | trial | INFO | [3/90] hospital_incident | linear | seed=2
2026-05-24 16:45:11,124 | trial | INFO | [4/90] hospital_incident | linear | seed=3
2026-05-24 16:50:36,361 | trial | INFO | [5/90] hospital_incident | linear | seed=4
2026-05-24 16:56:06,192 | trial | INFO | [6/90] hospital_incident | nonlinear | seed=0
2026-05-24 17:01:37,110 | trial | INFO | [7/90] hospital_incident | nonlinear | seed=1
2026-05-24 17:07:08,065 | trial | INFO | [8/90] hospital_incident | nonlinear | seed=2
2026-05-24 17:12:52,957 | trial | INFO | [9/90] hospital_incident | nonlinear | seed=3
2026-05-24 17:18:23,707 | trial | INFO | [10/90] hospital_incident | nonlinear | seed=4
2026-05-24 17:23:54,422 | trial | INFO | [11/90] hospital_incident | atemporal | seed=0
2026-05-24 17:29:05,195 | trial | INFO | [12/90] hospital_incident | atemporal | seed=1
2026-05-24 17:34:08,708 | trial | INFO | [13/90] hospital_incident | atemporal | seed=2
2026-05-24 17:39:12,412 | trial | INFO | [14/90] hospital_incident | atemporal | seed=3
2026-05-24 17:44:15,494 | trial | INFO | [15/90] hospital_incident | atemporal | seed=4
2026-05-24 17:49:19,908 | trial | INFO | [16/90] community_fair | linear | seed=0
2026-05-24 17:55:38,432 | trial | INFO | [17/90] community_fair | linear | seed=1
2026-05-24 18:01:57,879 | trial | INFO | [18/90] community_fair | linear | seed=2
2026-05-24 18:08:16,567 | trial | INFO | [19/90] community_fair | linear | seed=3
2026-05-24 18:14:35,843 | trial | INFO | [20/90] community_fair | linear | seed=4
2026-05-24 18:20:55,307 | trial | INFO | [21/90] community_fair | nonlinear | seed=0
2026-05-24 18:27:21,137 | trial | INFO | [22/90] community_fair | nonlinear | seed=1
2026-05-24 18:33:46,481 | trial | INFO | [23/90] community_fair | nonlinear | seed=2
2026-05-24 18:40:10,807 | trial | INFO | [24/90] community_fair | nonlinear | seed=3
2026-05-24 18:46:34,507 | trial | INFO | [25/90] community_fair | nonlinear | seed=4
2026-05-24 18:52:58,568 | trial | INFO | [26/90] community_fair | atemporal | seed=0
2026-05-24 18:59:09,672 | trial | INFO | [27/90] community_fair | atemporal | seed=1
2026-05-24 19:05:20,826 | trial | INFO | [28/90] community_fair | atemporal | seed=2
2026-05-24 19:11:31,825 | trial | INFO | [29/90] community_fair | atemporal | seed=3
2026-05-24 19:17:42,869 | trial | INFO | [30/90] community_fair | atemporal | seed=4
2026-05-24 19:23:53,777 | trial | INFO | [31/90] restaurant_fire | linear | seed=0
2026-05-24 19:30:03,203 | trial | INFO | [32/90] restaurant_fire | linear | seed=1
2026-05-24 19:36:12,454 | trial | INFO | [33/90] restaurant_fire | linear | seed=2
2026-05-24 19:42:22,172 | trial | INFO | [34/90] restaurant_fire | linear | seed=3
2026-05-24 19:48:30,205 | trial | INFO | [35/90] restaurant_fire | linear | seed=4
2026-05-24 19:54:39,767 | trial | INFO | [36/90] restaurant_fire | nonlinear | seed=0
2026-05-24 20:00:50,813 | trial | INFO | [37/90] restaurant_fire | nonlinear | seed=1
2026-05-24 20:07:03,829 | trial | INFO | [38/90] restaurant_fire | nonlinear | seed=2
2026-05-24 20:13:16,158 | trial | INFO | [39/90] restaurant_fire | nonlinear | seed=3
2026-05-24 20:19:27,746 | trial | INFO | [40/90] restaurant_fire | nonlinear | seed=4
2026-05-24 20:25:38,718 | trial | INFO | [41/90] restaurant_fire | atemporal | seed=0
2026-05-24 20:31:34,830 | trial | INFO | [42/90] restaurant_fire | atemporal | seed=1
2026-05-24 20:37:30,534 | trial | INFO | [43/90] restaurant_fire | atemporal | seed=2
2026-05-24 20:43:26,158 | trial | INFO | [44/90] restaurant_fire | atemporal | seed=3
2026-05-24 20:49:22,733 | trial | INFO | [45/90] restaurant_fire | atemporal | seed=4
2026-05-24 20:55:19,837 | trial | INFO | [46/90] school_trip | linear | seed=0
2026-05-24 21:02:07,545 | trial | INFO | [47/90] school_trip | linear | seed=1
2026-05-24 21:08:55,076 | trial | INFO | [48/90] school_trip | linear | seed=2
2026-05-24 21:15:43,361 | trial | INFO | [49/90] school_trip | linear | seed=3
2026-05-24 21:22:31,561 | trial | INFO | [50/90] school_trip | linear | seed=4
2026-05-24 21:29:19,134 | trial | INFO | [51/90] school_trip | nonlinear | seed=0
2026-05-24 21:36:17,629 | trial | INFO | [52/90] school_trip | nonlinear | seed=1
2026-05-24 21:43:17,905 | trial | INFO | [53/90] school_trip | nonlinear | seed=2
2026-05-24 21:50:16,348 | trial | INFO | [54/90] school_trip | nonlinear | seed=3
