2026-05-24 13:02:41,327 | trial | INFO | Trial spec: model=Qwen/Qwen2.5-7B-Instruct stories=['hospital_incident', 'community_fair', 'restaurant_fire', 'school_trip', 'power_cut', 'missed_flight'] conditions=['linear', 'nonlinear', 'atemporal'] seeds=[0, 1, 2, 3, 4] temperature=0.7 max_new_tokens=80
2026-05-24 13:02:41,332 | trial | INFO | [1/90] hospital_incident | linear | seed=0
2026-05-24 13:04:49,276 | trial | INFO | [2/90] hospital_incident | linear | seed=1
2026-05-24 13:06:04,207 | trial | INFO | [3/90] hospital_incident | linear | seed=2
2026-05-24 13:07:21,695 | trial | INFO | [4/90] hospital_incident | linear | seed=3
2026-05-24 13:08:36,709 | trial | INFO | [5/90] hospital_incident | linear | seed=4
2026-05-24 13:09:50,419 | trial | INFO | [6/90] hospital_incident | nonlinear | seed=0
2026-05-24 13:11:05,215 | trial | INFO | [7/90] hospital_incident | nonlinear | seed=1
2026-05-24 13:12:20,908 | trial | INFO | [8/90] hospital_incident | nonlinear | seed=2
2026-05-24 13:13:35,885 | trial | INFO | [9/90] hospital_incident | nonlinear | seed=3
2026-05-24 13:14:49,367 | trial | INFO | [10/90] hospital_incident | nonlinear | seed=4
2026-05-24 13:16:03,713 | trial | INFO | [11/90] hospital_incident | atemporal | seed=0
2026-05-24 13:17:16,479 | trial | INFO | [12/90] hospital_incident | atemporal | seed=1
2026-05-24 13:18:27,813 | trial | INFO | [13/90] hospital_incident | atemporal | seed=2
2026-05-24 13:19:39,186 | trial | INFO | [14/90] hospital_incident | atemporal | seed=3
2026-05-24 13:20:50,204 | trial | INFO | [15/90] hospital_incident | atemporal | seed=4
2026-05-24 13:22:05,410 | trial | INFO | [16/90] community_fair | linear | seed=0
2026-05-24 13:23:31,383 | trial | INFO | [17/90] community_fair | linear | seed=1
2026-05-24 13:24:57,493 | trial | INFO | [18/90] community_fair | linear | seed=2
2026-05-24 13:26:21,544 | trial | INFO | [19/90] community_fair | linear | seed=3
2026-05-24 13:27:45,950 | trial | INFO | [20/90] community_fair | linear | seed=4
2026-05-24 13:29:10,207 | trial | INFO | [21/90] community_fair | nonlinear | seed=0
2026-05-24 13:30:33,974 | trial | INFO | [22/90] community_fair | nonlinear | seed=1
2026-05-24 13:31:57,424 | trial | INFO | [23/90] community_fair | nonlinear | seed=2
2026-05-24 13:33:22,537 | trial | INFO | [24/90] community_fair | nonlinear | seed=3
2026-05-24 13:34:46,920 | trial | INFO | [25/90] community_fair | nonlinear | seed=4
2026-05-24 13:36:10,365 | trial | INFO | [26/90] community_fair | atemporal | seed=0
2026-05-24 13:37:34,002 | trial | INFO | [27/90] community_fair | atemporal | seed=1
2026-05-24 13:38:56,585 | trial | INFO | [28/90] community_fair | atemporal | seed=2
2026-05-24 13:40:18,757 | trial | INFO | [29/90] community_fair | atemporal | seed=3
2026-05-24 13:41:47,448 | trial | INFO | [30/90] community_fair | atemporal | seed=4
2026-05-24 13:44:46,827 | trial | INFO | [31/90] restaurant_fire | linear | seed=0
2026-05-24 13:47:39,086 | trial | INFO | [32/90] restaurant_fire | linear | seed=1
2026-05-24 13:50:38,187 | trial | INFO | [33/90] restaurant_fire | linear | seed=2
2026-05-24 13:53:33,332 | trial | INFO | [34/90] restaurant_fire | linear | seed=3
2026-05-24 13:56:38,070 | trial | INFO | [35/90] restaurant_fire | linear | seed=4
2026-05-24 13:59:39,148 | trial | INFO | [36/90] restaurant_fire | nonlinear | seed=0
2026-05-24 14:02:36,828 | trial | INFO | [37/90] restaurant_fire | nonlinear | seed=1
2026-05-24 14:05:35,399 | trial | INFO | [38/90] restaurant_fire | nonlinear | seed=2
2026-05-24 14:08:06,021 | trial | INFO | [39/90] restaurant_fire | nonlinear | seed=3
2026-05-24 14:10:33,408 | trial | INFO | [40/90] restaurant_fire | nonlinear | seed=4
2026-05-24 14:12:56,845 | trial | INFO | [41/90] restaurant_fire | atemporal | seed=0
2026-05-24 14:15:04,881 | trial | INFO | [42/90] restaurant_fire | atemporal | seed=1
2026-05-24 14:16:33,341 | trial | INFO | [43/90] restaurant_fire | atemporal | seed=2
2026-05-24 14:18:03,480 | trial | INFO | [44/90] restaurant_fire | atemporal | seed=3
2026-05-24 14:19:53,547 | trial | INFO | [45/90] restaurant_fire | atemporal | seed=4
2026-05-24 14:22:02,774 | trial | INFO | [46/90] school_trip | linear | seed=0
2026-05-24 14:24:23,129 | trial | INFO | [47/90] school_trip | linear | seed=1
2026-05-24 14:26:54,609 | trial | INFO | [48/90] school_trip | linear | seed=2
2026-05-24 14:29:21,252 | trial | INFO | [49/90] school_trip | linear | seed=3
2026-05-24 14:32:00,854 | trial | INFO | [50/90] school_trip | linear | seed=4
2026-05-24 14:34:25,715 | trial | INFO | [51/90] school_trip | nonlinear | seed=0
2026-05-24 14:38:15,765 | trial | INFO | [52/90] school_trip | nonlinear | seed=1
2026-05-24 14:41:43,404 | trial | INFO | [53/90] school_trip | nonlinear | seed=2
2026-05-24 14:45:21,472 | trial | INFO | [54/90] school_trip | nonlinear | seed=3
2026-05-24 14:49:33,878 | trial | INFO | [55/90] school_trip | nonlinear | seed=4
2026-05-24 14:53:51,699 | trial | INFO | [56/90] school_trip | atemporal | seed=0
2026-05-24 14:56:55,462 | trial | INFO | [57/90] school_trip | atemporal | seed=1
2026-05-24 15:00:22,255 | trial | INFO | [58/90] school_trip | atemporal | seed=2
2026-05-24 15:03:48,366 | trial | INFO | [59/90] school_trip | atemporal | seed=3
2026-05-24 15:06:52,289 | trial | INFO | [60/90] school_trip | atemporal | seed=4
